"work","citedwork"
"https://semopenalex.org/work/W2885115880","https://semopenalex.org/work/W2807494897"
"https://semopenalex.org/work/W2885115880","https://semopenalex.org/work/W2801527443"
"https://semopenalex.org/work/W2885115880","https://semopenalex.org/work/W2792593262"
"https://semopenalex.org/work/W2885115880","https://semopenalex.org/work/W2788153154"
"https://semopenalex.org/work/W2803510711","https://semopenalex.org/work/W2803180101"
"https://semopenalex.org/work/W2794041650","https://semopenalex.org/work/W2751864220"
"https://semopenalex.org/work/W2794041650","https://semopenalex.org/work/W2783287434"
"https://semopenalex.org/work/W2791923388","https://semopenalex.org/work/W2734322281"
"https://semopenalex.org/work/W2804985859","https://semopenalex.org/work/W2783930641"
"https://semopenalex.org/work/W2804985859","https://semopenalex.org/work/W2767246174"
"https://semopenalex.org/work/W2804985859","https://semopenalex.org/work/W2773645632"
"https://semopenalex.org/work/W2838017814","https://semopenalex.org/work/W2770614701"
"https://semopenalex.org/work/W2838017814","https://semopenalex.org/work/W2789486554"
"https://semopenalex.org/work/W2896760229","https://semopenalex.org/work/W2797902184"
"https://semopenalex.org/work/W2896760229","https://semopenalex.org/work/W2776407307"
"https://semopenalex.org/work/W2896760229","https://semopenalex.org/work/W2789503785"
"https://semopenalex.org/work/W2896760229","https://semopenalex.org/work/W2768223134"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2787553551"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2791483720"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2783137027"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2792187498"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2793815895"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2790708193"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2763009553"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2836754285"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2804447831"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2794186026"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2771431428"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2768413297"
"https://semopenalex.org/work/W2905522695","https://semopenalex.org/work/W2889088832"
